<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	00:00:00	1183.96	1194.97	1167.51	1188.50	89487	0	0
2015.01.05	00:00:00	1187.34	1207.50	1178.13	1204.24	98015	0	0
2015.01.06	00:00:00	1203.95	1223.13	1201.63	1218.03	100296	0	0
2015.01.07	00:00:00	1217.93	1218.75	1208.75	1211.09	86847	0	0
2015.01.08	00:00:00	1210.19	1216.65	1204.55	1208.59	67081	0	0
2015.01.09	00:00:00	1208.59	1223.98	1206.92	1223.06	84573	0	0
2015.01.12	00:00:00	1222.83	1235.82	1217.54	1232.94	73063	0	0
2015.01.13	00:00:00	1232.95	1244.09	1227.18	1230.43	104854	0	0
2015.01.14	00:00:00	1230.44	1244.43	1225.02	1228.36	118404	0	0
2015.01.15	00:00:00	1228.39	1266.71	1225.99	1262.09	154600	0	0
2015.01.16	00:00:00	1261.93	1282.07	1254.96	1280.32	113508	0	0
2015.01.19	00:00:00	1279.93	1281.56	1272.03	1276.70	44884	0	0
2015.01.20	00:00:00	1276.42	1297.18	1273.95	1294.88	109331	0	0
2015.01.21	00:00:00	1294.43	1305.22	1284.58	1292.91	110133	0	0
2015.01.22	00:00:00	1292.85	1307.56	1279.54	1301.81	108602	0	0
2015.01.23	00:00:00	1301.60	1302.55	1284.36	1294.00	81369	0	0
2015.01.26	00:00:00	1292.14	1299.11	1275.83	1281.03	86079	0	0
2015.01.27	00:00:00	1281.13	1297.54	1272.21	1292.09	74960	0	0
2015.01.28	00:00:00	1291.89	1293.76	1279.66	1284.10	69477	0	0
2015.01.29	00:00:00	1283.43	1285.86	1252.03	1256.85	106623	0	0
2015.01.30	00:00:00	1256.57	1284.80	1256.57	1283.07	85002	0	0
2015.02.02	00:00:00	1281.48	1283.29	1266.44	1274.09	69804	0	0
2015.02.03	00:00:00	1273.91	1285.90	1255.47	1259.91	79530	0	0
2015.02.04	00:00:00	1259.46	1272.71	1256.60	1268.74	73477	0	0
2015.02.05	00:00:00	1268.19	1274.17	1256.26	1264.44	67737	0	0
2015.02.06	00:00:00	1264.37	1268.76	1228.32	1233.40	82279	0	0
2015.02.09	00:00:00	1233.28	1243.63	1233.28	1238.66	45356	0	0
2015.02.10	00:00:00	1238.11	1245.87	1230.95	1233.07	51527	0	0
2015.02.11	00:00:00	1233.17	1238.76	1216.60	1218.75	53698	0	0
2015.02.12	00:00:00	1217.95	1232.95	1216.44	1221.80	55532	0	0
2015.02.13	00:00:00	1221.71	1234.95	1221.58	1229.44	46707	0	0
2015.02.16	00:00:00	1229.42	1236.70	1227.55	1230.74	29252	0	0
2015.02.17	00:00:00	1229.41	1233.91	1203.79	1209.42	58979	0	0
2015.02.18	00:00:00	1208.77	1213.52	1197.54	1212.31	52256	0	0
2015.02.19	00:00:00	1212.22	1222.94	1205.37	1206.41	56967	0	0
2015.02.20	00:00:00	1206.49	1215.40	1198.22	1200.96	55502	0	0
2015.02.23	00:00:00	1202.71	1210.32	1190.74	1201.28	50401	0	0
2015.02.24	00:00:00	1201.25	1204.55	1190.28	1200.27	53665	0	0
2015.02.25	00:00:00	1200.24	1211.89	1199.39	1204.79	43341	0	0
2015.02.26	00:00:00	1204.26	1219.98	1203.60	1209.06	53620	0	0
2015.02.27	00:00:00	1209.02	1219.38	1204.47	1212.97	51238	0	0
2015.03.02	00:00:00	1213.02	1223.24	1204.57	1206.48	58326	0	0
2015.03.03	00:00:00	1205.84	1214.74	1195.41	1203.52	58449	0	0
2015.03.04	00:00:00	1203.44	1209.00	1198.27	1200.04	50553	0	0
2015.03.05	00:00:00	1200.05	1209.48	1196.49	1198.03	48055	0	0
2015.03.06	00:00:00	1197.55	1200.72	1163.74	1166.96	73323	0	0
2015.03.09	00:00:00	1169.28	1175.33	1165.81	1166.99	37699	0	0
2015.03.10	00:00:00	1166.90	1170.46	1155.26	1161.59	57565	0	0
2015.03.11	00:00:00	1161.08	1165.17	1147.51	1155.20	46155	0	0
2015.03.12	00:00:00	1154.54	1166.56	1148.62	1153.50	56833	0	0
2015.03.13	00:00:00	1153.49	1161.76	1151.48	1158.23	44150	0	0
2015.03.16	00:00:00	1158.16	1164.10	1150.30	1154.62	37932	0	0
2015.03.17	00:00:00	1154.57	1159.88	1142.75	1149.36	54543	0	0
2015.03.18	00:00:00	1148.94	1175.68	1145.98	1167.51	66460	0	0
2015.03.19	00:00:00	1166.20	1177.81	1159.53	1170.89	68092	0	0
2015.03.20	00:00:00	1170.41	1187.91	1168.76	1182.32	59101	0	0
2015.03.23	00:00:00	1182.18	1191.67	1179.33	1189.39	51110	0	0
2015.03.24	00:00:00	1189.31	1195.00	1185.42	1193.18	54935	0	0
2015.03.25	00:00:00	1192.57	1199.67	1186.62	1195.31	47509	0	0
2015.03.26	00:00:00	1194.66	1219.80	1194.41	1204.64	66189	0	0
2015.03.27	00:00:00	1204.28	1206.20	1192.54	1198.29	52622	0	0
