<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.03.03	01:00:00	2856.00	2876.99	2854.73	2872.74	2371	0	11
2025.03.03	01:15:00	2872.56	2874.30	2869.84	2871.12	1004	0	10
2025.03.03	01:30:00	2871.12	2872.84	2869.75	2871.56	923	0	10
2025.03.03	01:45:00	2871.72	2872.29	2864.54	2871.08	1757	0	8
2025.03.03	02:00:00	2871.07	2871.24	2866.42	2870.33	1530	0	8
2025.03.03	02:15:00	2870.35	2871.15	2867.90	2869.75	1724	0	8
2025.03.03	02:30:00	2869.76	2870.21	2867.46	2868.59	1652	0	8
2025.03.03	02:45:00	2868.59	2869.00	2865.25	2865.93	1708	0	8
2025.03.03	03:00:00	2865.93	2869.08	2864.20	2867.93	3253	0	10
2025.03.03	03:15:00	2867.93	2871.06	2866.27	2871.02	2386	0	8
2025.03.03	03:30:00	2871.02	2872.05	2868.80	2869.19	1395	0	8
2025.03.03	03:45:00	2869.28	2871.99	2868.65	2870.87	1632	0	8
2025.03.03	04:00:00	2870.86	2871.47	2869.89	2870.18	1120	0	8
2025.03.03	04:15:00	2870.18	2872.11	2869.57	2870.14	1202	0	8
2025.03.03	04:30:00	2870.14	2870.52	2869.21	2870.03	972	0	8
2025.03.03	04:45:00	2870.03	2870.20	2867.73	2868.20	1173	0	8
2025.03.03	05:00:00	2868.02	2868.02	2861.96	2862.91	2035	0	8
2025.03.03	05:15:00	2862.91	2863.43	2859.23	2861.91	1928	0	8
2025.03.03	05:30:00	2861.91	2865.31	2861.64	2864.87	2206	0	8
2025.03.03	05:45:00	2864.88	2866.30	2863.81	2864.83	1440	0	8
2025.03.03	06:00:00	2864.83	2865.22	2863.10	2864.26	1088	0	8
2025.03.03	06:15:00	2864.26	2864.57	2863.41	2864.44	647	0	8
2025.03.03	06:30:00	2864.44	2867.92	2863.96	2867.85	1191	0	8
2025.03.03	06:45:00	2867.85	2868.42	2867.11	2867.26	860	0	8
2025.03.03	07:00:00	2867.17	2867.29	2865.68	2867.08	748	0	8
2025.03.03	07:15:00	2867.09	2867.38	2865.44	2865.78	1244	0	8
2025.03.03	07:30:00	2865.76	2866.44	2862.04	2862.35	1776	0	8
2025.03.03	07:45:00	2862.58	2864.01	2861.07	2863.90	1663	0	8
2025.03.03	08:00:00	2863.90	2866.00	2862.84	2865.24	1834	0	8
2025.03.03	08:15:00	2865.25	2865.36	2862.73	2863.37	1261	0	8
2025.03.03	08:30:00	2863.34	2863.89	2861.73	2863.08	1012	0	8
2025.03.03	08:45:00	2863.08	2865.80	2862.94	2865.51	1345	0	8
2025.03.03	09:00:00	2865.54	2866.32	2862.57	2863.62	1756	0	5
2025.03.03	09:15:00	2863.58	2863.80	2860.70	2861.49	1800	0	4
2025.03.03	09:30:00	2861.43	2863.28	2861.09	2861.42	1252	0	4
2025.03.03	09:45:00	2861.42	2863.54	2860.23	2863.34	1580	0	4
2025.03.03	10:00:00	2863.43	2865.07	2861.96	2864.04	2025	0	4
2025.03.03	10:15:00	2864.03	2864.64	2858.87	2860.24	2333	0	4
2025.03.03	10:30:00	2860.19	2865.72	2859.07	2865.11	2447	0	4
2025.03.03	10:45:00	2865.04	2868.97	2865.04	2868.70	2605	0	4
2025.03.03	11:00:00	2868.75	2870.10	2867.21	2869.19	2727	0	4
2025.03.03	11:15:00	2869.19	2871.29	2869.13	2869.63	2198	0	4
2025.03.03	11:30:00	2869.62	2869.86	2864.34	2864.62	2062	0	4
2025.03.03	11:45:00	2864.59	2869.85	2864.48	2867.50	2198	0	4
2025.03.03	12:00:00	2867.51	2869.19	2867.36	2868.50	1694	0	4
2025.03.03	12:15:00	2868.50	2870.85	2868.16	2869.13	1653	0	4
2025.03.03	12:30:00	2869.16	2871.58	2868.51	2871.55	1924	0	4
2025.03.03	12:45:00	2871.50	2873.63	2870.97	2871.88	1390	0	4
2025.03.03	13:00:00	2871.90	2875.51	2871.21	2874.64	1754	0	4
2025.03.03	13:15:00	2874.64	2874.68	2871.58	2873.34	1243	0	4
2025.03.03	13:30:00	2873.35	2873.54	2871.81	2872.78	985	0	4
2025.03.03	13:45:00	2872.78	2875.28	2872.63	2874.39	1272	0	4
2025.03.03	14:00:00	2874.39	2876.45	2874.06	2874.26	1556	0	6
2025.03.03	14:15:00	2874.27	2876.24	2874.15	2876.23	1083	0	4
2025.03.03	14:30:00	2876.24	2877.63	2874.54	2876.77	1902	0	4
2025.03.03	14:45:00	2876.89	2877.43	2875.39	2875.67	1127	0	4
