<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.01	01:00:00	3289.15	3290.20	3274.43	3276.58	1298	0	8
2025.05.01	01:15:00	3276.58	3279.55	3272.10	3276.20	1475	0	8
2025.05.01	01:30:00	3277.58	3281.17	3271.41	3276.09	1713	0	8
2025.05.01	01:45:00	3276.11	3280.01	3273.59	3274.00	1070	0	8
2025.05.01	02:00:00	3274.24	3285.11	3273.50	3280.62	1367	0	8
2025.05.01	02:15:00	3280.62	3280.65	3273.99	3278.18	1391	0	8
2025.05.01	02:30:00	3278.17	3278.17	3269.78	3274.37	1394	0	8
2025.05.01	02:45:00	3274.37	3276.64	3271.92	3272.67	1156	0	8
2025.05.01	03:00:00	3272.97	3276.26	3269.57	3275.27	1879	0	8
2025.05.01	03:15:00	3275.27	3276.32	3245.40	3258.97	2604	0	8
2025.05.01	03:30:00	3259.07	3259.35	3245.45	3248.05	2669	0	8
2025.05.01	03:45:00	3248.05	3253.07	3241.38	3246.50	2404	0	8
2025.05.01	04:00:00	3246.50	3248.60	3235.75	3243.94	1990	0	8
2025.05.01	04:15:00	3243.94	3249.64	3239.32	3249.03	1498	0	8
2025.05.01	04:30:00	3249.03	3251.37	3243.88	3244.22	1799	0	8
2025.05.01	04:45:00	3244.26	3245.19	3234.37	3238.94	2146	0	8
2025.05.01	05:00:00	3238.94	3242.72	3235.16	3240.44	1190	0	8
2025.05.01	05:15:00	3240.44	3251.68	3240.34	3246.49	1816	0	8
2025.05.01	05:30:00	3246.30	3248.45	3242.96	3244.18	1174	0	8
2025.05.01	05:45:00	3244.18	3245.24	3239.72	3241.57	1412	0	8
2025.05.01	06:00:00	3241.50	3242.64	3231.11	3232.03	1702	0	8
2025.05.01	06:15:00	3232.09	3238.02	3231.28	3233.29	1732	0	8
2025.05.01	06:30:00	3233.29	3237.23	3229.39	3235.14	1906	0	8
2025.05.01	06:45:00	3235.15	3237.02	3228.92	3229.49	1836	0	8
2025.05.01	07:00:00	3229.55	3231.33	3225.34	3228.51	1756	0	8
2025.05.01	07:15:00	3228.51	3228.51	3223.57	3226.43	1359	0	8
2025.05.01	07:30:00	3226.44	3227.03	3221.31	3226.64	1688	0	8
2025.05.01	07:45:00	3226.64	3231.98	3225.73	3226.62	1446	0	8
2025.05.01	08:00:00	3226.62	3229.99	3223.43	3229.26	1484	0	8
2025.05.01	08:15:00	3229.26	3233.29	3227.41	3230.56	1971	0	8
2025.05.01	08:30:00	3230.58	3236.52	3228.69	3233.65	2267	0	8
2025.05.01	08:45:00	3233.65	3238.83	3233.32	3236.63	1509	0	8
2025.05.01	09:00:00	3236.65	3243.18	3236.06	3238.16	2225	0	4
2025.05.01	09:15:00	3238.33	3240.06	3233.86	3235.97	2530	0	4
2025.05.01	09:30:00	3235.99	3240.35	3235.19	3237.45	2213	0	4
2025.05.01	09:45:00	3237.48	3237.95	3234.73	3235.78	1787	0	4
2025.05.01	10:00:00	3235.81	3236.96	3228.17	3231.20	2345	0	4
2025.05.01	10:15:00	3231.20	3232.42	3226.11	3230.61	1907	0	4
2025.05.01	10:30:00	3230.49	3235.37	3229.50	3234.66	1858	0	4
2025.05.01	10:45:00	3234.66	3234.84	3228.50	3230.12	1704	0	4
2025.05.01	11:00:00	3230.07	3235.38	3229.97	3232.91	1905	0	4
2025.05.01	11:15:00	3232.91	3236.78	3232.78	3234.61	1400	0	4
2025.05.01	11:30:00	3234.61	3234.88	3232.01	3232.44	1086	0	4
2025.05.01	11:45:00	3232.44	3235.33	3232.36	3235.24	939	0	4
2025.05.01	12:00:00	3235.25	3236.26	3228.23	3230.27	2242	0	5
2025.05.01	12:15:00	3230.21	3230.42	3225.58	3225.83	1062	0	4
2025.05.01	12:30:00	3225.83	3226.67	3219.82	3223.03	1700	0	4
2025.05.01	12:45:00	3223.03	3224.36	3215.75	3218.47	2308	0	4
2025.05.01	13:00:00	3218.47	3220.45	3214.60	3215.03	2186	0	4
2025.05.01	13:15:00	3215.00	3219.27	3213.59	3218.42	2038	0	4
2025.05.01	13:30:00	3218.42	3225.34	3217.94	3224.07	2090	0	4
2025.05.01	13:45:00	3224.07	3224.36	3221.63	3222.91	1790	0	4
2025.05.01	14:00:00	3222.97	3226.84	3222.22	3223.63	1784	0	5
2025.05.01	14:15:00	3223.63	3227.09	3222.74	3223.19	1850	0	7
2025.05.01	14:30:00	3223.16	3225.27	3214.33	3214.38	2430	0	5
2025.05.01	14:45:00	3214.32	3214.99	3203.50	3205.54	3232	0	4
2025.05.01	15:00:00	3205.43	3210.01	3201.96	3206.87	3081	0	4
2025.05.01	15:15:00	3206.86	3220.01	3203.74	3219.24	3606	0	5
2025.05.01	15:30:00	3219.22	3228.56	3218.54	3226.65	4167	0	4
2025.05.01	15:45:00	3226.60	3232.65	3224.01	3226.89	3383	0	4
2025.05.01	16:00:00	3226.86	3229.95	3221.16	3229.14	3154	0	4
2025.05.01	16:15:00	3229.12	3230.34	3221.09	3227.17	2750	0	4
2025.05.01	16:30:00	3227.24	3233.38	3220.37	3227.80	4456	0	4
2025.05.01	16:45:00	3227.40	3227.58	3218.81	3225.00	3358	0	4
2025.05.01	17:00:00	3221.86	3228.34	3214.42	3224.49	4834	0	4
2025.05.01	17:15:00	3224.51	3224.65	3214.40	3222.86	4186	0	4
2025.05.01	17:30:00	3222.85	3231.15	3220.89	3230.02	3655	0	4
2025.05.01	17:45:00	3230.02	3231.54	3218.54	3219.17	3097	0	4
2025.05.01	18:00:00	3219.17	3221.94	3217.41	3218.06	2731	0	4
2025.05.01	18:15:00	3218.05	3218.21	3213.68	3215.41	2833	0	4
2025.05.01	18:30:00	3215.42	3215.78	3206.06	3207.07	2878	0	4
2025.05.01	18:45:00	3207.04	3218.10	3205.02	3216.46	3057	0	4
2025.05.01	19:00:00	3216.46	3217.39	3209.02	3210.23	2684	0	5
2025.05.01	19:15:00	3210.23	3214.80	3209.51	3209.68	2460	0	4
2025.05.01	19:30:00	3209.70	3216.57	3209.70	3214.00	2235	0	4
